UNIPROT_ID	GENE_NAMES	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED
P42771	CDKN2A	P42771;Q8N726	P42771	1a5e-A	NA	156	1	156	100.0	70	199	0	0	0
P28482	MAPK1	P28482	P28482	4qta-A	NA	360	10	358	100.0	42	72	0	0	0
P20155	SPINK2		P20155	2jxd-A	NA	84	23	84	100.0	10	11	0	0	-1
Q14790	CASP8	Q14790	Q14790	5l08-E	NA	479	2	182	100.0	60	83	0	0	0
Q92793	CREBBP	Q92793	Q09472	4pzt-A	NA	2442	1323	1701	87.9	90	147	0	0	0
Q09472	EP300	Q09472	Q09472	4bhw-B	NA	2414	1046	1664	100.0	107	160	0	0	0
P58107	EPPK1		P15924	5dzz-A	NA	5088	1927	2419	42.3	122	158	0	0	-1
Q13485	SMAD4	Q13485	Q13485	1dd1-B	NA	552	285	552	100.0	75	211	0	0	0
P18074	ERCC2	P18074	P18074	5of4-B	NA	760	11	734	100.0	112	141	0	0	0
Q92600	CNOT9		Q92600	4crv-B	NA	299	19	285	100.0	38	54	0	0	-1
O75533	SF3B1	O75533	O75533	5ife-C	NA	1304	463	1304	100.0	151	402	0	0	0
P68400	CSNK2A1		P68400	1jwh-A	NA	391	2	337	100.0	71	77	0	0	-1
P01112	HRAS	P01112	P01112	6q21-C	NA	189	1	171	100.0	28	148	0	0	0
P01116	KRAS	P01116	P01116	5tar-A	NA	189	2	185	100.0	42	1201	0	0	0
P42345	MTOR	P42345	P42345	5h64-A	NA	2549	210	2549	100.0	300	365	0	0	0
Q02750	MAP2K1	Q02750	Q02750	5bx0-A	NA	393	39	382	100.0	52	113	0	0	0
Q8TER0	SNED1		P02751	1fnf-A	NA	1413	906	1184	26.7	31	32	0	0	-1
Q9UPY3	DICER1	Q9UPY3	Q9UPY3	2eb1-A	NA	1922	1660	1850	100.0	33	60	0	0	0
P40337	VHL	P40337	P40337	1lqb-C	NA	213	61	210	100.0	50	117	0	0	0
P51532	SMARCA4	P51532	P22082	5x0y-O	NA	1647	732	1369	55.8	147	274	0	0	0
Q969H0	FBXW7	Q969H0	Q969H0	2ovp-B	NA	707	263	706	100.0	102	348	0	0	0
O43791	SPOP	O43791	O43791	3hu6-B	NA	374	28	329	100.0	69	187	0	0	0
Q6S5H5	POTEG		E0A9E1	5vkq-C	NA	508	111	364	22.4	47	110	0	0	-1
P27986	PIK3R1	P27986	P27986	5swo-B	NA	724	327	598	100.0	57	116	0	0	0
Q684P5	RAP1GAP2		P47736	3brw-B	NA	730	145	481	66.8	47	53	0	0	-1
Q06124	PTPN11	Q06124	Q06124	4gwf-A	NA	593	2	539	100.0	87	142	0	0	0
P61586	RHOA	P61586	P61586	5fr2-A	NA	193	1	191	100.0	53	120	0	0	0
P42336	PIK3CA	P42336	P42336	5dxh-D	NA	1068	2	1062	100.0	199	1249	0	0	0
P04637	TP53	P04637	P04637	3q05-B	NA	393	94	356	100.0	154	3388	0	0	0
P30153	PPP2R1A	P30153	P30153	1b3u-B	NA	589	2	589	100.0	122	218	0	0	0
