UNIPROT_ID	GENE_NAMES	IN_CANCER_GENE_LISTS	MAPPED_UNIPROT_ID	PDBID-CHAIN	PDB_FRAGMENT	UNIPROT_SEQ_LENGTH	MAP_START	MAP_END	PERCENT_IDENTITY	NSITES	NSAMPLES	CLUMPS_P	CLUMPS_Q_FULL	CLUMPS_Q_RESTRICTED
Q14839	CHD4	Q14839	Q14839	3459-A	NA	1912	30	1912	100.0	239	319	0	0	0
P20155	SPINK2		P20155	247a-A	NA	84	1	84	100.0	12	13	0	0	-1
A6NKG5	RTL1		A6NKG5	13f6-A	NA	1358	162	1198	100.0	95	111	0	0	-1
Q92560	BAP1	Q92560	Q92560	5172-A	NA	729	1	729	100.0	98	133	0	0	0
Q92793	CREBBP	Q92793	Q92793	51dd-A	NA	2442	143	2210	100.0	201	271	0	0	0
P55317	FOXA1	P55317	P55317	2c08-A	NA	472	1	472	100.0	75	109	0	0	0
O14497	ARID1A	O14497	O14497	1682-A	NA	2285	1002	2285	100.0	114	137	0	0	0
Q9BYW2	SETD2	Q9BYW2	Q9BYW2	5b57-A	NA	2564	1	2564	100.0	124	154	0	0	0
P00533	EGFR	P00533	P00533	1dce-A	NA	1210	1	1017	100.0	252	391	0	0	0
Q09472	EP300	Q09472	Q09472	310d-A	NA	2414	331	2088	100.0	177	233	0	0	0
P06400	RB1	P06400	P06400	1f77-A	NA	928	23	928	100.0	132	139	0	0	0
Q14145	KEAP1	Q14145	Q14145	335a-A	NA	624	39	624	100.0	174	267	0	0	0
P58107	EPPK1		P58107	2c8e-A	NA	5088	1601	3000	100.0	195	231	0	0	-1
B2RN74	OR11H12		B2RN74	14fd-A	NA	326	23	326	100.0	65	94	0	0	-1
Q0D2H9	GOLGA8DP		Q0D2H9	3128-A	NA	430	1	385	100.0	18	23	0	0	-1
Q13485	SMAD4	Q13485	Q13485	32b3-A	NA	552	1	552	100.0	114	256	0	0	0
P21860	ERBB3	P21860	P21860	2528-A	NA	1342	1	981	100.0	177	282	0	0	0
Q684P5	RAP1GAP2		Q684P5	3cad-A	NA	730	26	545	100.0	65	70	0	0	-1
P15056	BRAF	P15056	P15056	2344-A	NA	766	41	766	100.0	99	819	0	0	0
O43791	SPOP	O43791	O43791	1908-A	NA	374	1	374	100.0	79	197	0	0	0
O75533	SF3B1	O75533	O75533	1b07-A	NA	1304	1	1304	100.0	177	429	0	0	0
